Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,0.642 (0.041),0.363 (0.04),0.591 (0.045),0.973 (0.007),0.134 (0.007),0.126 (0.005),0.298 (0.016),0.197 (0.007),0.171 (0.011)
initial-transfer,0.585 (0.077),0.332 (0.063),0.657 (0.073),0.977 (0.009),0.144 (0.028),0.13 (0.019),0.283 (0.032),0.194 (0.007),0.161 (0.015)
