Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
auto-aug,0.2644 (0.0758),0.1326 (0.0165),0.9463 (0.0083),0.9961 (0.0006),0.179 (0.0209),0.1985 (0.033),0.1318 (0.0876),0.0499 (0.008)
fs-tune,0.25 (0.0777),0.0341 (0.0126),0.9595 (0.0148),0.9988 (0.0004),0.1878 (0.0455),0.142 (0.0436),0.2159 (0.0691),0.0393 (0.0144)
initial-tune,0.3793 (0.1053),0.197 (0.0386),0.9112 (0.029),0.9957 (0.0021),0.1674 (0.0163),0.2881 (0.0693),0.1823 (0.0773),0.0845 (0.027)
