Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.466 (0.017),0.372 (0.04),0.996 (0.001),0.998 (0.001),0.707 (0.055),0.419 (0.018),0.524 (0.005),0.094 (0.049),-0.062 (0.069),0.195 (0.011),0.161 (0.018),0.322 (0.028),0.308 (0.028),-1.0 (0.0)
auto-v2,0.562 (0.156),0.419 (0.059),0.989 (0.007),0.993 (0.004),0.526 (0.131),0.49 (0.103),0.481 (0.015),0.143 (0.114),-0.012 (0.053),0.151 (0.026),0.137 (0.022),0.281 (0.062),0.247 (0.038),-1.0 (0.0)
initial-tune,0.531 (0.091),0.318 (0.048),0.993 (0.003),0.998 (0.001),0.623 (0.076),0.424 (0.063),0.496 (0.018),0.213 (0.074),-0.14 (0.051),0.175 (0.02),0.137 (0.019),0.401 (0.053),0.318 (0.054),-1.0 (0.0)
