Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.258 (0.045),0.125 (0.035),0.993 (0.002),0.995 (0.003),0.567 (0.047),0.191 (0.039),0.282 (0.038),0.133 (0.019),0.089 (0.136),0.056 (0.021),0.091 (0.019),0.245 (0.037),0.215 (0.032),0.067 (0.014)
auto-v2,0.404 (0.019),0.335 (0.053),0.984 (0.005),0.985 (0.004),0.479 (0.056),0.37 (0.028),0.414 (0.012),0.069 (0.056),0.034 (0.055),0.058 (0.008),0.061 (0.012),0.255 (0.037),0.288 (0.029),0.155 (0.066)
initial-tune,0.407 (0.085),0.271 (0.103),0.986 (0.007),0.988 (0.006),0.514 (0.061),0.339 (0.091),0.395 (0.047),0.135 (0.05),0.057 (0.048),0.045 (0.015),0.068 (0.033),0.295 (0.058),0.24 (0.037),0.14 (0.03)
