Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
auto-aug,0.925 (0.0546),0.4142 (0.0646),0.8594 (0.0347),0.9825 (0.0056),0.316 (0.0387),0.6696 (0.0585),0.5108 (0.0249),0.1232 (0.0296)
fs-tune,0.8417 (0.0862),0.3627 (0.0426),0.9281 (0.0223),0.9859 (0.0031),0.4361 (0.0562),0.6022 (0.0611),0.479 (0.0597),0.0578 (0.0194)
initial-tune,0.9083 (0.0144),0.4335 (0.0477),0.9094 (0.0185),0.9824 (0.0047),0.4004 (0.043),0.6709 (0.0253),0.4749 (0.0491),0.073 (0.0174)
