Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
auto-aug,0.475 (0.0511),0.5595 (0.0553),0.99 (0.0012),0.991 (0.003),0.6921 (0.0275),0.5173 (0.0514),0.0845 (0.0276),0.0017 (0.0015)
fs-tune,0.4556 (0.0236),0.55 (0.0237),0.992 (0.0018),0.9918 (0.0042),0.7239 (0.0676),0.5028 (0.0186),0.0944 (0.0292),0.003 (0.0019)
initial-tune,0.4806 (0.044),0.5619 (0.0447),0.9912 (0.0008),0.9911 (0.0023),0.7072 (0.0207),0.5212 (0.0402),0.0813 (0.0373),0.0015 (0.0009)
