Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
auto-aug,0.4115 (0.1643),0.2333 (0.0624),0.996 (0.0031),0.9995 (0.0009),0.6557 (0.1324),0.3224 (0.1098),0.1781 (0.1163),0.0034 (0.0022)
fs-tune,0.6146 (0.0699),0.2167 (0.05),0.9922 (0.0019),0.9997 (0.0002),0.5071 (0.0332),0.4156 (0.0569),0.3979 (0.0427),0.0075 (0.0019)
initial-tune,0.5938 (0.0729),0.2083 (0.0722),0.9935 (0.0023),0.9999 (0.0002),0.5629 (0.0787),0.401 (0.0542),0.3854 (0.0965),0.0064 (0.0022)
