Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.232 (0.06),0.392 (0.069),0.99 (0.004),0.994 (0.002),0.637 (0.045),0.312 (0.061),0.413 (0.047),-0.16 (0.04),-0.231 (0.021),0.101 (0.017),0.126 (0.026),0.188 (0.042),0.156 (0.05),0.148 (0.038)
auto-v2,0.254 (0.035),0.375 (0.057),0.987 (0.006),0.993 (0.002),0.589 (0.049),0.315 (0.041),0.406 (0.021),-0.121 (0.046),-0.221 (0.101),0.101 (0.02),0.14 (0.021),0.291 (0.013),0.176 (0.026),0.131 (0.025)
initial-tune,0.282 (0.066),0.324 (0.079),0.985 (0.007),0.996 (0.002),0.596 (0.058),0.303 (0.072),0.393 (0.053),-0.042 (0.019),-0.312 (0.058),0.122 (0.011),0.131 (0.011),0.222 (0.06),0.221 (0.057),0.165 (0.025)
