Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,0.588 (0.076),0.785 (0.061),0.984 (0.008),0.984 (0.009),0.298 (0.015),0.224 (0.017),0.185 (0.012),0.149 (0.007),0.099 (0.016)
initial-transfer,0.455 (0.056),0.652 (0.049),0.994 (0.003),0.996 (0.001),0.255 (0.027),0.214 (0.008),0.19 (0.021),0.152 (0.012),0.138 (0.011)
