Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,0.844 (0.019),0.888 (0.014),0.772 (0.034),0.749 (0.034),0.372 (0.01),0.344 (0.014),0.141 (0.01),0.166 (0.034),0.097 (0.01)
initial-transfer,0.609 (0.027),0.847 (0.025),0.965 (0.013),0.841 (0.035),0.431 (0.027),0.372 (0.014),0.266 (0.016),0.262 (0.018),0.209 (0.017)
