Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
auto-aug,0.3112 (0.0584),0.1383 (0.0611),0.9969 (0.0007),0.9966 (0.001),0.6643 (0.0666),0.2248 (0.0563),0.1729 (0.0401),0.0014 (0.0009)
fs-tune,0.449 (0.0402),0.1117 (0.0176),0.9935 (0.0015),0.9968 (0.0013),0.639 (0.0694),0.2803 (0.0135),0.3373 (0.0559),0.0032 (0.0009)
initial-tune,0.5026 (0.0429),0.133 (0.0529),0.9924 (0.003),0.9948 (0.0011),0.6049 (0.0551),0.3178 (0.0467),0.3696 (0.0233),0.0024 (0.0024)
