Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,0.477 (0.037),0.311 (0.028),0.812 (0.024),0.97 (0.004),0.099 (0.005),0.118 (0.003),0.247 (0.012),0.214 (0.011),0.187 (0.008)
initial-transfer,0.398 (0.031),0.25 (0.023),0.868 (0.02),0.98 (0.003),0.107 (0.006),0.115 (0.005),0.222 (0.014),0.189 (0.009),0.16 (0.012)
