Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,0.463 (0.077),0.244 (0.075),0.79 (0.055),0.992 (0.003),0.054 (0.004),0.081 (0.007),0.199 (0.028),0.198 (0.019),0.164 (0.034)
initial-transfer,0.33 (0.15),0.176 (0.103),0.859 (0.091),0.994 (0.005),0.038 (0.011),0.069 (0.014),0.151 (0.068),0.15 (0.057),0.12 (0.038)
