Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.25 (0.039),0.448 (0.034),0.997 (0.001),0.997 (0.001),0.646 (0.115),0.349 (0.024),0.448 (0.018),-0.198 (0.057),-0.15 (0.108),0.235 (0.039),0.235 (0.045),0.106 (0.034),0.144 (0.045),0.216 (0.062)
auto-v2,0.318 (0.034),0.578 (0.038),0.995 (0.003),0.996 (0.002),0.594 (0.115),0.448 (0.033),0.502 (0.035),-0.259 (0.027),-0.128 (0.083),0.311 (0.013),0.28 (0.033),0.189 (0.054),0.144 (0.025),0.267 (0.038)
initial-tune,0.273 (0.057),0.44 (0.045),0.998 (0.001),0.998 (0.001),0.677 (0.065),0.356 (0.046),0.466 (0.05),-0.167 (0.046),-0.054 (0.172),0.258 (0.05),0.25 (0.054),0.098 (0.025),0.121 (0.021),0.198 (0.051)
