Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.359 (0.035),0.683 (0.055),0.997 (0.001),0.997 (0.001),0.656 (0.078),0.521 (0.038),0.578 (0.039),-0.324 (0.052),-0.098 (0.075),0.344 (0.038),0.289 (0.041),0.133 (0.026),0.164 (0.081),-1.0 (0.0)
auto-v2,0.328 (0.084),0.683 (0.029),0.998 (0.002),0.998 (0.0),0.708 (0.07),0.506 (0.046),0.586 (0.022),-0.355 (0.086),-0.132 (0.093),0.32 (0.089),0.281 (0.073),0.109 (0.047),0.148 (0.046),-1.0 (0.0)
initial-tune,0.305 (0.046),0.617 (0.037),0.998 (0.001),0.999 (0.001),0.738 (0.084),0.461 (0.042),0.562 (0.008),-0.312 (0.012),-0.22 (0.083),0.305 (0.046),0.258 (0.034),0.195 (0.06),0.141 (0.064),-1.0 (0.0)
