Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.137 (0.05),0.042 (0.014),0.992 (0.005),0.998 (0.001),0.569 (0.109),0.089 (0.027),0.15 (0.037),0.095 (0.05),-0.14 (0.16),0.038 (0.015),0.049 (0.023),0.133 (0.05),0.119 (0.043),-1.0 (0.0)
auto-v2,0.301 (0.083),0.233 (0.091),0.962 (0.019),0.984 (0.009),0.409 (0.057),0.267 (0.083),0.307 (0.044),0.067 (0.053),-0.153 (0.016),0.067 (0.013),0.07 (0.009),0.287 (0.03),0.217 (0.038),-1.0 (0.0)
initial-tune,0.242 (0.04),0.008 (0.014),0.975 (0.009),0.999 (0.0),0.395 (0.052),0.125 (0.027),0.187 (0.027),0.234 (0.027),0.188 (0.388),0.076 (0.009),0.068 (0.018),0.231 (0.033),0.207 (0.018),-1.0 (0.0)
