Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,p-with,p-without
auto-aug,0.175 (0.014),0.367 (0.045),0.82 (0.088),0.985 (0.005),0.142 (0.053),0.271 (0.023),0.192 (0.049),0.007 (0.003),0.512 (0.063)
fs-tune,0.125 (0.049),0.337 (0.033),0.985 (0.019),0.989 (0.003),0.557 (0.179),0.231 (0.026),0.212 (0.067),0.008 (0.003),0.608 (0.055)
initial-tune,0.125 (0.036),0.332 (0.055),0.988 (0.014),0.985 (0.009),0.539 (0.152),0.228 (0.038),0.207 (0.053),0.007 (0.003),0.557 (0.09)
