Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.625 (0.028),0.481 (0.089),0.997 (0.001),0.997 (0.001),0.854 (0.041),0.553 (0.056),0.668 (0.032),0.28 (0.021),0.202 (0.046),0.325 (0.02),0.387 (0.038),-1.0 (0.0)
auto-v2,0.728 (0.043),0.506 (0.065),0.994 (0.003),0.995 (0.004),0.764 (0.09),0.617 (0.053),0.676 (0.022),0.157 (0.037),0.133 (0.027),0.292 (0.034),0.369 (0.041),-1.0 (0.0)
initial-transfer,0.393 (0.049),0.031 (0.032),0.996 (0.002),0.999 (0.001),0.693 (0.075),0.212 (0.036),0.321 (0.038),0.169 (0.021),0.169 (0.019),0.349 (0.04),0.335 (0.046),-1.0 (0.0)
initial-tune,0.74 (0.031),0.25 (0.077),0.994 (0.0),0.999 (0.0),0.801 (0.004),0.495 (0.053),0.61 (0.04),0.175 (0.018),0.125 (0.042),0.599 (0.047),0.544 (0.037),-1.0 (0.0)
