Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,0.241 (0.105),0.689 (0.068),0.998 (0.002),0.984 (0.008),0.179 (0.076),0.161 (0.054),0.161 (0.054),0.134 (0.03),0.147 (0.015)
initial-transfer,0.054 (0.059),0.557 (0.053),1.0 (0.0),0.995 (0.002),0.054 (0.074),0.045 (0.059),0.205 (0.053),0.152 (0.039),0.164 (0.007)
