Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.688 (0.077),0.436 (0.013),0.994 (0.004),0.997 (0.001),0.69 (0.112),0.562 (0.042),0.615 (0.059),0.252 (0.071),-0.029 (0.21),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.178 (0.007)
auto-v2,0.891 (0.078),0.538 (0.165),0.95 (0.037),0.992 (0.005),0.387 (0.19),0.714 (0.121),0.458 (0.111),0.353 (0.092),-0.236 (0.127),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.182 (0.021)
initial-tune,0.812 (0.058),0.5 (0.098),0.976 (0.008),0.996 (0.002),0.459 (0.053),0.656 (0.077),0.533 (0.023),0.312 (0.048),-0.299 (0.05),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.208 (0.033)
