Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.27 (0.087),0.356 (0.076),0.969 (0.018),0.996 (0.002),0.316 (0.127),0.313 (0.081),0.287 (0.018),-0.087 (0.025),-0.49 (0.044),0.25 (0.067),0.191 (0.058),0.289 (0.032),0.127 (0.058),0.223 (0.083)
auto-v2,0.417 (0.051),0.495 (0.046),0.953 (0.012),0.995 (0.002),0.269 (0.033),0.456 (0.043),0.335 (0.02),-0.078 (0.043),-0.537 (0.068),0.348 (0.045),0.314 (0.028),0.294 (0.05),0.27 (0.025),0.223 (0.068)
initial-tune,0.363 (0.053),0.431 (0.018),0.962 (0.012),0.997 (0.001),0.288 (0.041),0.397 (0.033),0.33 (0.018),-0.068 (0.044),-0.595 (0.034),0.304 (0.04),0.25 (0.051),0.196 (0.042),0.201 (0.064),0.234 (0.026)
