Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.493 (0.039),0.311 (0.044),0.999 (0.001),0.999 (0.001),0.677 (0.074),0.402 (0.031),0.501 (0.015),0.182 (0.056),0.057 (0.05),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0)
auto-v2,0.533 (0.065),0.464 (0.046),0.998 (0.001),0.997 (0.002),0.644 (0.14),0.499 (0.053),0.548 (0.036),0.069 (0.043),0.1 (0.107),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0)
initial-tune,0.5 (0.067),0.347 (0.063),0.999 (0.0),0.998 (0.001),0.665 (0.12),0.423 (0.025),0.511 (0.028),0.153 (0.12),0.157 (0.094),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0)
