Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-tp-transfer,0.625 (0.016),0.222 (0.044),0.996 (0.001),1.0 (0.0),0.795 (0.035),0.424 (0.026),0.552 (0.024),0.096 (0.013),0.093 (0.025),0.351 (0.031),0.375 (0.035),-1.0 (0.0)
aug-transfer,0.503 (0.029),0.208 (0.031),0.993 (0.001),1.0 (0.0),0.665 (0.027),0.355 (0.026),0.462 (0.018),0.104 (0.025),0.122 (0.012),0.309 (0.04),0.277 (0.021),-1.0 (0.0)
aug-tune,0.596 (0.072),0.181 (0.031),0.995 (0.002),1.0 (0.0),0.767 (0.072),0.388 (0.04),0.513 (0.039),0.136 (0.042),0.136 (0.041),0.263 (0.06),0.375 (0.016),-1.0 (0.0)
initial-transfer,0.543 (0.039),0.16 (0.03),0.992 (0.002),1.0 (0.0),0.643 (0.04),0.351 (0.035),0.452 (0.023),0.09 (0.016),0.114 (0.034),0.529 (0.031),0.431 (0.024),-1.0 (0.0)
initial-tune,0.652 (0.028),0.194 (0.02),0.994 (0.001),1.0 (0.0),0.749 (0.035),0.423 (0.023),0.54 (0.016),0.093 (0.019),0.069 (0.012),0.628 (0.015),0.449 (0.078),-1.0 (0.0)
