Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
auto-aug,0.1167 (0.128),0.0323 (0.0323),0.9998 (0.0002),0.9999 (0.0002),0.4649 (0.3565),0.0745 (0.0755),0.0844 (0.1098),0.0001 (0.0002)
fs-tune,0.025 (0.0433),0.0 (0.0),1.0 (0.0),1.0 (0.0),0.25 (0.433),0.0125 (0.0217),0.025 (0.0433),0.0 (0.0)
initial-tune,0.1083 (0.0862),0.0081 (0.014),0.9999 (0.0002),1.0 (0.0),0.6407 (0.4107),0.0582 (0.0491),0.1003 (0.0749),0.0001 (0.0002)
