Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.586 (0.114),0.544 (0.025),0.998 (0.001),0.997 (0.001),0.893 (0.036),0.565 (0.051),0.689 (0.034),0.042 (0.129),0.046 (0.005),0.253 (0.034),0.256 (0.017),0.273 (0.036),0.277 (0.021),-1.0 (0.0)
auto-v2,0.733 (0.03),0.596 (0.064),0.997 (0.001),0.996 (0.002),0.866 (0.04),0.665 (0.034),0.751 (0.013),0.138 (0.073),0.065 (0.019),0.149 (0.019),0.197 (0.023),0.218 (0.009),0.212 (0.033),-1.0 (0.0)
initial-tune,0.866 (0.015),0.412 (0.069),0.995 (0.001),1.0 (0.0),0.907 (0.017),0.639 (0.038),0.749 (0.026),0.454 (0.065),-0.131 (0.024),0.075 (0.018),0.099 (0.031),0.605 (0.054),0.44 (0.067),-1.0 (0.0)
