Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.629 (0.117),0.881 (0.013),0.826 (0.066),0.929 (0.02),0.881 (0.025),0.755 (0.065),0.81 (0.027),0.282 (0.027),0.242 (0.028),0.242 (0.016),0.21 (0.036),0.057 (0.005)
auto-v2,0.661 (0.074),0.871 (0.017),0.811 (0.086),0.937 (0.012),0.88 (0.038),0.766 (0.043),0.817 (0.013),0.25 (0.058),0.274 (0.053),0.266 (0.042),0.234 (0.027),0.063 (0.012)
initial-transfer,0.54 (0.145),0.867 (0.032),0.682 (0.124),0.831 (0.056),0.779 (0.042),0.704 (0.088),0.734 (0.029),0.185 (0.058),0.234 (0.048),0.185 (0.035),0.282 (0.048),0.056 (0.013)
initial-tune,0.573 (0.134),0.886 (0.02),0.875 (0.054),0.912 (0.026),0.892 (0.025),0.729 (0.074),0.799 (0.039),0.282 (0.027),0.234 (0.035),0.234 (0.014),0.266 (0.048),0.06 (0.01)
