Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
auto-aug,0.3306 (0.1079),0.448 (0.0442),0.9308 (0.0504),0.9942 (0.0039),0.259 (0.0858),0.3893 (0.0754),0.1174 (0.0666),0.0634 (0.0466)
fs-tune,0.2097 (0.0484),0.358 (0.0285),1.0 (0.0),0.9984 (0.001),0.909 (0.0435),0.2838 (0.0321),0.1483 (0.0468),0.0016 (0.001)
initial-tune,0.2258 (0.0228),0.422 (0.0597),0.9885 (0.0128),0.9956 (0.0022),0.6218 (0.2371),0.3239 (0.0412),0.1962 (0.0371),0.0097 (0.0097)
