Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,0.738 (0.046),0.888 (0.014),0.64 (0.068),0.753 (0.033),0.285 (0.034),0.28 (0.012),0.208 (0.021),0.213 (0.011),0.082 (0.013)
initial-transfer,0.405 (0.04),0.847 (0.025),0.972 (0.011),0.839 (0.035),0.303 (0.021),0.282 (0.021),0.231 (0.024),0.211 (0.022),0.202 (0.017)
