Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.41 (0.088),0.148 (0.027),0.915 (0.021),0.992 (0.003),0.339 (0.023),0.279 (0.057),0.302 (0.03),0.216 (0.035),0.215 (0.036),0.246 (0.027),0.228 (0.023),0.099 (0.02)
auto-v2,0.637 (0.029),0.292 (0.035),0.765 (0.02),0.978 (0.005),0.235 (0.012),0.464 (0.031),0.312 (0.013),0.184 (0.01),0.192 (0.024),0.192 (0.025),0.226 (0.024),0.177 (0.017)
initial-transfer,0.459 (0.044),0.18 (0.027),0.815 (0.029),0.987 (0.004),0.216 (0.011),0.319 (0.035),0.256 (0.008),0.122 (0.014),0.116 (0.013),0.372 (0.032),0.277 (0.013),0.125 (0.015)
initial-tune,0.647 (0.026),0.273 (0.043),0.769 (0.036),0.98 (0.005),0.239 (0.017),0.46 (0.034),0.313 (0.007),0.197 (0.016),0.191 (0.012),0.356 (0.013),0.282 (0.015),0.185 (0.024)
