Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,0.297 (0.065),0.476 (0.055),1.0 (0.0),0.994 (0.003),0.246 (0.037),0.228 (0.037),0.224 (0.012),0.19 (0.056),0.125 (0.006)
initial-transfer,0.284 (0.043),0.492 (0.03),1.0 (0.0),0.995 (0.002),0.233 (0.026),0.228 (0.014),0.237 (0.014),0.168 (0.055),0.119 (0.006)
