Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-tp-transfer,0.335 (0.089),0.218 (0.052),0.931 (0.022),0.996 (0.002),0.231 (0.031),0.276 (0.069),0.243 (0.027),0.04 (0.009),0.078 (0.018),0.233 (0.036),0.193 (0.044),0.167 (0.048)
aug-transfer,0.273 (0.076),0.099 (0.028),0.936 (0.029),0.996 (0.002),0.18 (0.022),0.186 (0.052),0.176 (0.011),0.019 (0.007),0.064 (0.017),0.229 (0.027),0.172 (0.039),0.079 (0.025)
aug-tune,0.373 (0.021),0.242 (0.036),0.907 (0.017),0.994 (0.002),0.192 (0.021),0.307 (0.028),0.234 (0.011),0.036 (0.013),0.1 (0.041),0.294 (0.015),0.222 (0.028),0.171 (0.045)
corrected,0.419 (0.047),0.325 (0.043),0.903 (0.02),0.992 (0.002),0.216 (0.035),0.372 (0.045),0.27 (0.027),0.076 (0.01),0.102 (0.02),0.328 (0.016),0.248 (0.013),0.183 (0.033)
initial-transfer,0.305 (0.03),0.135 (0.014),0.926 (0.018),0.995 (0.001),0.177 (0.022),0.22 (0.019),0.194 (0.008),0.008 (0.006),0.047 (0.019),0.22 (0.017),0.195 (0.013),0.071 (0.018)
initial-tune,0.39 (0.099),0.262 (0.077),0.904 (0.048),0.994 (0.003),0.215 (0.05),0.326 (0.087),0.245 (0.014),0.028 (0.013),0.081 (0.009),0.239 (0.043),0.165 (0.035),0.139 (0.017)
