Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-tp-transfer,0.741 (0.034),0.569 (0.062),0.997 (0.001),0.998 (0.0),0.893 (0.024),0.655 (0.042),0.754 (0.026),0.151 (0.013),0.127 (0.018),0.148 (0.021),0.144 (0.015),-1.0 (0.0)
aug-transfer,0.655 (0.065),0.422 (0.033),0.995 (0.003),0.997 (0.001),0.818 (0.068),0.538 (0.048),0.645 (0.014),0.111 (0.027),0.123 (0.008),0.127 (0.018),0.18 (0.018),-1.0 (0.0)
aug-tune,0.778 (0.031),0.505 (0.058),0.995 (0.002),0.998 (0.001),0.852 (0.04),0.642 (0.044),0.73 (0.024),0.445 (0.04),0.125 (0.035),0.132 (0.015),0.187 (0.028),-1.0 (0.0)
corrected,0.769 (0.045),0.598 (0.058),0.994 (0.004),0.997 (0.002),0.836 (0.079),0.684 (0.046),0.747 (0.014),0.132 (0.042),0.12 (0.035),0.15 (0.036),0.134 (0.054),-1.0 (0.0)
initial-transfer,0.688 (0.025),0.417 (0.008),0.995 (0.002),0.997 (0.001),0.81 (0.039),0.553 (0.016),0.656 (0.004),0.077 (0.013),0.083 (0.01),0.308 (0.03),0.241 (0.034),-1.0 (0.0)
initial-tune,0.801 (0.023),0.539 (0.017),0.994 (0.002),0.998 (0.001),0.844 (0.037),0.67 (0.006),0.747 (0.015),0.095 (0.018),0.093 (0.014),0.239 (0.062),0.141 (0.019),-1.0 (0.0)
