Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
auto-aug,0.5352 (0.0454),0.3939 (0.0537),0.8828 (0.0109),0.9875 (0.0009),0.3248 (0.0273),0.4646 (0.0445),0.1413 (0.0444),0.1047 (0.0114)
fs-tune,0.4983 (0.1122),0.3242 (0.0735),0.892 (0.037),0.99 (0.0032),0.3315 (0.0466),0.4113 (0.0919),0.1741 (0.0468),0.098 (0.0344)
initial-tune,0.5403 (0.0616),0.353 (0.0677),0.8707 (0.0463),0.9908 (0.003),0.3165 (0.0516),0.4466 (0.0631),0.1872 (0.0286),0.12 (0.0435)
