Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,0.779 (0.072),0.479 (0.076),0.515 (0.084),0.96 (0.013),0.384 (0.028),0.26 (0.034),0.215 (0.011),0.152 (0.017),0.211 (0.003)
initial-transfer,0.663 (0.105),0.362 (0.085),0.648 (0.095),0.977 (0.01),0.368 (0.022),0.275 (0.016),0.208 (0.016),0.17 (0.007),0.201 (0.016)
