Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,p-with,p-without
auto-aug,0.225 (0.049),0.544 (0.029),0.942 (0.025),0.994 (0.002),0.325 (0.062),0.384 (0.037),0.319 (0.032),0.041 (0.014),0.766 (0.07)
fs-tune,0.342 (0.119),0.616 (0.073),0.937 (0.022),0.985 (0.006),0.329 (0.063),0.479 (0.089),0.275 (0.085),0.027 (0.009),0.619 (0.108)
initial-tune,0.2 (0.071),0.574 (0.057),0.942 (0.043),0.992 (0.003),0.424 (0.251),0.387 (0.055),0.374 (0.068),0.025 (0.006),0.723 (0.06)
