Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.652 (0.055),0.676 (0.035),0.989 (0.002),0.999 (0.0),0.61 (0.034),0.664 (0.03),0.634 (0.008),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.213 (0.015)
auto-v2,0.78 (0.045),0.787 (0.092),0.982 (0.01),0.997 (0.001),0.566 (0.173),0.784 (0.049),0.638 (0.086),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.234 (0.034)
initial-transfer,0.515 (0.0),0.691 (0.011),0.986 (0.002),0.998 (0.0),0.53 (0.038),0.603 (0.005),0.563 (0.023),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.229 (0.018)
initial-tune,0.689 (0.066),0.676 (0.046),0.99 (0.004),0.999 (0.001),0.64 (0.094),0.682 (0.029),0.657 (0.051),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.277 (0.026)
