Mode,both,just_main,just_spurious,neither,b-precision,b-recall,b-f1,r-gap,p-gap,both-main-box,both-main-pixel-paint,both-spurious-box,both-spurious-pixel-paint,just_main+spurious
auto-v1,0.669 (0.058),0.403 (0.046),0.997 (0.005),0.999 (0.0),0.905 (0.097),0.536 (0.029),0.669 (0.014),0.267 (0.086),0.016 (0.139),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.163 (0.022)
auto-v2,0.855 (0.053),0.543 (0.032),0.945 (0.029),0.994 (0.003),0.448 (0.136),0.699 (0.041),0.533 (0.1),0.311 (0.034),-0.382 (0.097),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.168 (0.011)
initial-tune,0.331 (0.08),0.533 (0.019),0.999 (0.002),0.997 (0.001),0.873 (0.063),0.432 (0.047),0.574 (0.028),-0.202 (0.07),0.073 (0.129),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.207 (0.011)
