Mode,both,just_main,just_spurious,neither,main-box,main-pixel-paint,spurious-box,spurious-pixel-paint,+spurious
aug-transfer,-1.0 (0.0),0.701 (0.036),0.998 (0.001),0.993 (0.001),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.196 (0.008)
initial-transfer,-1.0 (0.0),0.64 (0.022),0.999 (0.0),0.995 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),0.241 (0.01)
