# n, p, Original - Test, Original - Neutral, New - Test, New - Neutral
5000.000000,0.800000,0.786000,0.520000,0.781000,0.573000
5000.000000,0.850000,0.859000,0.489000,0.841000,0.493000
5000.000000,0.900000,0.904000,0.476000,0.903000,0.542000
5000.000000,0.950000,0.945000,0.486000,0.940000,0.495000
5000.000000,1.000000,0.999000,0.494000,0.999000,0.495000
10000.000000,0.800000,0.794000,0.503000,0.949000,0.931000
10000.000000,0.850000,0.852000,0.513000,0.975000,0.944000
10000.000000,0.900000,0.900000,0.489000,0.935000,0.759000
10000.000000,0.950000,0.947000,0.526000,0.981000,0.873000
10000.000000,1.000000,1.000000,0.492000,1.000000,0.502000
15000.000000,0.800000,0.845000,0.655000,0.976000,0.956000
15000.000000,0.850000,0.841000,0.479000,0.982000,0.965000
15000.000000,0.900000,0.903000,0.540000,0.985000,0.952000
15000.000000,0.950000,0.951000,0.504000,0.988000,0.926000
15000.000000,1.000000,1.000000,0.504000,1.000000,0.519000
20000.000000,0.800000,0.897000,0.765000,0.985000,0.972000
20000.000000,0.850000,0.867000,0.600000,0.986000,0.979000
20000.000000,0.900000,0.900000,0.515000,0.989000,0.974000
20000.000000,0.950000,0.945000,0.500000,0.989000,0.931000
20000.000000,1.000000,1.000000,0.507000,1.000000,0.526000
