Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.3359 (0.0536),0.5917 (0.0741),0.9982 (0.0006),0.9984 (0.001),0.7444 (0.0796),0.4638 (0.0551),-0.2557 (0.0677),0.0002 (0.0009)
SPIRE,0.3359 (0.06),0.6708 (0.0588),0.9975 (0.001),0.9967 (0.0017),0.6531 (0.0751),0.5034 (0.0561),-0.3349 (0.039),-0.0007 (0.0013)
FS,0.2109 (0.1057),0.4708 (0.1767),0.9987 (0.001),0.9993 (0.0007),0.8215 (0.1002),0.3409 (0.1328),-0.2599 (0.1192),0.0006 (0.0009)
