Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.4432 (0.0611),0.3556 (0.072),0.9003 (0.0235),0.9965 (0.0012),0.2027 (0.0243),0.3994 (0.0637),0.0876 (0.04),0.0962 (0.0223)
SPIRE,0.2841 (0.0342),0.2833 (0.0518),0.9488 (0.0101),0.9982 (0.0009),0.2591 (0.0339),0.2837 (0.0399),0.0008 (0.0368),0.0494 (0.0094)
FS,0.3466 (0.0637),0.1889 (0.1176),0.9172 (0.0118),0.9982 (0.0004),0.1681 (0.049),0.2677 (0.0877),0.1577 (0.0706),0.081 (0.0116)
