Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.4142 (0.0662),0.2698 (0.0502),0.906 (0.0241),0.9941 (0.0012),0.2098 (0.0291),0.342 (0.0517),0.1444 (0.0558),0.0881 (0.0232)
SPIRE,0.3114 (0.0383),0.2262 (0.05),0.9448 (0.0135),0.9948 (0.0013),0.2568 (0.0363),0.2688 (0.0393),0.0853 (0.0421),0.05 (0.0127)
FS,0.2119 (0.0512),0.0933 (0.0359),0.9602 (0.0149),0.9987 (0.0007),0.2288 (0.0559),0.1526 (0.0416),0.1186 (0.0297),0.0385 (0.0144)
