Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.246 (0.0738),0.396 (0.0302),0.9885 (0.0102),0.9965 (0.0018),0.6156 (0.229),0.321 (0.049),-0.15 (0.0557),0.0081 (0.009)
SPIRE,0.4234 (0.1063),0.432 (0.0566),0.9308 (0.0385),0.9942 (0.004),0.269 (0.1019),0.4277 (0.0792),-0.0086 (0.0626),0.0634 (0.0346)
FS,0.2016 (0.0504),0.341 (0.0538),0.9923 (0.0154),0.9972 (0.0012),0.7281 (0.227),0.2713 (0.049),-0.1394 (0.0354),0.0049 (0.0144)
