Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.7036 (0.0298),0.1969 (0.0404),0.9949 (0.0016),0.9993 (0.0007),0.8086 (0.0444),0.4503 (0.0254),0.5068 (0.0496),0.0044 (0.0017)
SPIRE,0.4819 (0.0473),0.3125 (0.0484),0.9983 (0.0009),0.9991 (0.0005),0.8917 (0.0319),0.3972 (0.04),0.1694 (0.0526),0.0007 (0.001)
FS,0.6935 (0.0605),0.2531 (0.0384),0.9934 (0.0013),0.9992 (0.0003),0.7701 (0.0347),0.4733 (0.0307),0.4404 (0.0806),0.0058 (0.0012)
