Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.4394 (0.0527),0.2729 (0.0698),0.9849 (0.0041),0.9896 (0.0029),0.5158 (0.0383),0.3561 (0.0559),0.1665 (0.0529),0.0047 (0.0044)
SPIRE,0.3447 (0.0424),0.2058 (0.0433),0.9899 (0.0027),0.9919 (0.0022),0.5374 (0.0388),0.2752 (0.0378),0.1389 (0.0404),0.002 (0.0028)
FS,0.2778 (0.072),0.0412 (0.0192),0.9925 (0.0028),0.9993 (0.0008),0.6087 (0.0595),0.1595 (0.0415),0.2366 (0.0649),0.0068 (0.0026)
