Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.5911 (0.082),0.2417 (0.0276),0.9931 (0.0014),0.9998 (0.0003),0.5415 (0.0361),0.4164 (0.0524),0.3495 (0.063),0.0067 (0.0015)
SPIRE,0.4323 (0.1159),0.2375 (0.0538),0.9954 (0.0031),0.9997 (0.0003),0.597 (0.073),0.3349 (0.0772),0.1948 (0.0939),0.0043 (0.0031)
FS,0.5365 (0.1177),0.2625 (0.0512),0.9929 (0.0017),0.9998 (0.0002),0.5216 (0.0436),0.3995 (0.0779),0.274 (0.0933),0.007 (0.0018)
