Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.4286 (0.0451),0.1356 (0.0592),0.9938 (0.0013),0.9955 (0.0022),0.6207 (0.0523),0.2821 (0.0368),0.2929 (0.0751),0.0017 (0.002)
SPIRE,0.2717 (0.0595),0.0984 (0.0592),0.9977 (0.0015),0.9962 (0.0027),0.6641 (0.0663),0.185 (0.0557),0.1733 (0.0409),-0.0015 (0.0023)
FS,0.3495 (0.0723),0.0027 (0.007),0.9958 (0.0018),0.9993 (0.0006),0.6931 (0.0657),0.1761 (0.0383),0.3468 (0.0685),0.0036 (0.002)
