Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.6061 (0.0569),0.1438 (0.0647),0.9792 (0.0062),0.9995 (0.0005),0.5594 (0.0518),0.3749 (0.0488),0.4624 (0.0729),0.0203 (0.0061)
SPIRE,0.4764 (0.1205),0.3156 (0.1212),0.988 (0.0088),0.9973 (0.0013),0.6847 (0.0814),0.396 (0.1143),0.1608 (0.0784),0.0094 (0.0077)
FS,0.5739 (0.0879),0.1062 (0.0446),0.9805 (0.0052),0.9997 (0.0003),0.5493 (0.0437),0.3401 (0.0547),0.4676 (0.0863),0.0192 (0.0053)
