Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.1208 (0.0286),0.3373 (0.0373),0.9869 (0.007),0.9851 (0.0041),0.4627 (0.086),0.2291 (0.0307),-0.2165 (0.0252),-0.0018 (0.0067)
SPIRE,0.2292 (0.0484),0.3825 (0.038),0.8474 (0.0677),0.9798 (0.0065),0.1663 (0.0532),0.3059 (0.0379),-0.1534 (0.0427),0.1324 (0.0624)
FS,0.1167 (0.0553),0.2398 (0.0497),0.9651 (0.0174),0.9928 (0.0038),0.3165 (0.1178),0.1782 (0.0482),-0.1231 (0.0416),0.0277 (0.0186)
