Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.3147 (0.0586),0.1818 (0.0435),0.9212 (0.025),0.9959 (0.0017),0.1638 (0.0168),0.2482 (0.0473),0.1328 (0.0414),0.0747 (0.0235)
SPIRE,0.227 (0.0947),0.1856 (0.0523),0.9378 (0.0277),0.9955 (0.002),0.1726 (0.0397),0.2063 (0.068),0.0414 (0.0703),0.0577 (0.0259)
FS,0.1983 (0.0523),0.0436 (0.0233),0.9556 (0.019),0.9988 (0.001),0.1518 (0.045),0.1209 (0.0364),0.1547 (0.0355),0.0432 (0.0181)
