Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.5612 (0.0568),0.3712 (0.0479),0.8551 (0.0266),0.9882 (0.0027),0.2878 (0.0218),0.4662 (0.0501),0.19 (0.0315),0.1331 (0.0248)
SPIRE,0.5076 (0.0978),0.3826 (0.067),0.8732 (0.0476),0.9872 (0.0045),0.3103 (0.0357),0.4451 (0.081),0.125 (0.0432),0.1139 (0.0435)
FS,0.3163 (0.0512),0.2205 (0.0442),0.9613 (0.0125),0.995 (0.0015),0.4603 (0.0645),0.2684 (0.0438),0.0958 (0.0381),0.0337 (0.0114)
