Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.3578 (0.061),0.4362 (0.0353),0.9592 (0.0122),0.9968 (0.0013),0.2769 (0.0516),0.397 (0.0438),-0.0783 (0.0475),0.0376 (0.0112)
SPIRE,0.3015 (0.0438),0.4309 (0.0496),0.9667 (0.0085),0.9966 (0.0011),0.2921 (0.0387),0.3662 (0.0412),-0.1294 (0.0442),0.0299 (0.0077)
FS,0.2647 (0.0714),0.3138 (0.0349),0.9744 (0.0102),0.9983 (0.0007),0.316 (0.0612),0.2893 (0.0509),-0.0491 (0.0474),0.0238 (0.0098)
