Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.7812 (0.0312),0.5417 (0.0659),0.9827 (0.0093),0.9965 (0.0013),0.5527 (0.1405),0.6615 (0.0388),0.2396 (0.0679),0.0137 (0.0088)
SPIRE,0.6992 (0.0811),0.4735 (0.06),0.989 (0.0052),0.9971 (0.0008),0.6051 (0.0787),0.5864 (0.0621),0.2257 (0.0703),0.0081 (0.0049)
FS,0.3984 (0.1717),0.464 (0.1149),0.9976 (0.0044),0.9954 (0.0024),0.7039 (0.1409),0.4312 (0.1231),-0.0656 (0.1574),-0.0023 (0.0036)
