Mode,b-precision,b-recall,r-gap,h-gap
SPIRE,0.021 (0.017),-0.027 (0.027),-0.059 (0.012),-0.002 (0.001)
FS,0.008 (0.039),-0.084 (0.042),-0.017 (0.022),-0.001 (0.001)
