Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.2462 (0.0718),0.4526 (0.087),0.9978 (0.0014),0.9976 (0.0013),0.6819 (0.0946),0.3494 (0.0602),-0.2064 (0.1045),-0.0003 (0.001)
SPIRE,0.2614 (0.0693),0.5 (0.096),0.9971 (0.001),0.9971 (0.0011),0.6299 (0.0409),0.3807 (0.0682),-0.2386 (0.0972),0.0 (0.0008)
FS,0.1894 (0.0541),0.3233 (0.1117),0.999 (0.0009),0.9987 (0.001),0.7742 (0.127),0.2563 (0.0746),-0.1339 (0.0924),-0.0003 (0.0004)
