Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.4944 (0.0764),0.5429 (0.0372),0.9898 (0.0044),0.9907 (0.0034),0.6954 (0.0717),0.5187 (0.0454),-0.0484 (0.0786),0.0009 (0.0032)
SPIRE,0.5042 (0.0541),0.5333 (0.0541),0.9892 (0.0044),0.9916 (0.0038),0.7008 (0.0748),0.5187 (0.0503),-0.0292 (0.04),0.0024 (0.0018)
FS,0.3222 (0.0984),0.2679 (0.1144),0.9952 (0.0037),0.9968 (0.0025),0.7718 (0.089),0.295 (0.0928),0.0544 (0.1054),0.0016 (0.0028)
