Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.236 (0.0581),0.2955 (0.0835),0.9827 (0.0095),0.996 (0.0027),0.551 (0.084),0.2657 (0.0598),-0.0594 (0.0798),0.0133 (0.0095)
SPIRE,0.1868 (0.019),0.2812 (0.034),0.992 (0.0032),0.9972 (0.0012),0.6744 (0.0821),0.234 (0.0235),-0.0945 (0.0287),0.0052 (0.0026)
FS,0.1551 (0.0667),0.0852 (0.0743),0.9935 (0.0056),0.9994 (0.0004),0.6767 (0.1506),0.1202 (0.0638),0.0699 (0.0605),0.0059 (0.0053)
