Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.3181 (0.0555),0.0208 (0.0286),0.9629 (0.0147),0.9984 (0.0017),0.3706 (0.0554),0.1694 (0.0307),0.2972 (0.0633),0.0355 (0.0135)
SPIRE,0.1624 (0.0455),0.0417 (0.0363),0.9874 (0.0081),0.9982 (0.0019),0.5064 (0.1087),0.102 (0.0385),0.1207 (0.0292),0.0108 (0.0066)
FS,0.2246 (0.042),0.0083 (0.0144),0.9771 (0.0056),0.9991 (0.0013),0.3803 (0.021),0.1165 (0.0263),0.2163 (0.0344),0.022 (0.0053)
