Mode,b-precision,b-recall,r-gap,h-gap
SPIRE,-0.006 (0.014),-0.02 (0.021),-0.085 (0.012),0.002 (0.005)
FS,0.022 (0.039),-0.097 (0.041),-0.013 (0.013),-0.009 (0.004)
