Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.075 (0.052),0.0161 (0.0161),0.9999 (0.0003),1.0 (0.0),0.698 (0.4019),0.0456 (0.0296),0.0589 (0.0493),0.0001 (0.0003)
SPIRE,0.15 (0.0667),0.0121 (0.0156),0.9996 (0.0003),0.9999 (0.0002),0.4763 (0.3224),0.081 (0.0337),0.1379 (0.0694),0.0003 (0.0004)
FS,0.0125 (0.0161),0.0 (0.0),1.0 (0.0),1.0 (0.0),0.375 (0.4841),0.0062 (0.0081),0.0125 (0.0161),0.0 (0.0)
