Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.2875 (0.0897),0.5792 (0.0614),0.9312 (0.0242),0.9915 (0.0044),0.3068 (0.0619),0.4334 (0.058),-0.2917 (0.1008),0.0602 (0.0234)
SPIRE,0.3333 (0.0898),0.5414 (0.024),0.9229 (0.0219),0.9932 (0.0021),0.2849 (0.0503),0.4374 (0.0511),-0.2081 (0.0827),0.0703 (0.0213)
FS,0.175 (0.0759),0.4898 (0.0864),0.9437 (0.0363),0.9941 (0.0023),0.328 (0.1198),0.3324 (0.0709),-0.3148 (0.0799),0.0504 (0.0346)
