Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.5 (0.134),0.5477 (0.077),1.0 (0.0),0.9931 (0.0034),0.8324 (0.0622),0.5239 (0.0944),-0.0477 (0.1099),-0.0069 (0.0034)
SPIRE,0.6855 (0.1017),0.4332 (0.0275),0.9904 (0.0098),0.9967 (0.0011),0.7492 (0.1224),0.5593 (0.0581),0.2523 (0.0932),0.0063 (0.0097)
FS,0.3427 (0.1714),0.5286 (0.046),1.0 (0.0),0.9952 (0.0013),0.8411 (0.0334),0.4357 (0.1038),-0.1859 (0.141),-0.0048 (0.0013)
