Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.8182 (0.0522),0.0644 (0.0465),0.995 (0.0011),0.9999 (0.0001),0.7841 (0.0281),0.4413 (0.041),0.7538 (0.0553),0.0049 (0.0012)
SPIRE,0.5795 (0.0454),0.0833 (0.0363),0.9983 (0.0005),0.9998 (0.0004),0.8769 (0.0344),0.3314 (0.0251),0.4962 (0.0652),0.0015 (0.0005)
FS,0.7854 (0.0363),0.0189 (0.0211),0.9946 (0.0015),1.0 (0.0),0.7543 (0.0493),0.4021 (0.0233),0.7664 (0.0369),0.0054 (0.0015)
