Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.4967 (0.1338),0.3648 (0.1077),0.9985 (0.0008),0.9977 (0.0013),0.6233 (0.0946),0.4308 (0.0991),0.1319 (0.1405),-0.0008 (0.0016)
SPIRE,0.5592 (0.1233),0.4388 (0.1177),0.9977 (0.0012),0.9973 (0.0016),0.5909 (0.0713),0.499 (0.0994),0.1204 (0.1363),-0.0004 (0.0015)
FS,0.2763 (0.1523),0.1352 (0.0901),0.9995 (0.0005),0.9999 (0.0002),0.8781 (0.1015),0.2058 (0.1127),0.1411 (0.1085),0.0004 (0.0004)
